sale_id,date,year,month,quarter,drug_name,drug_class,region,channel,rep_name,manager,units_sold,unit_price,revenue,target_revenue
TXN-00001,2023-01-31,2023,1,Q1,Amlodipine,Cardiovascular,Central,Pharmacy,Rohit Mishra,Anita Pandey,81.0,105.81,8570.61,9526.38
TXN-00002,2023-01-28,2023,1,Q1,Ciprofloxacin,Anti-infective,East,Hospital,Sunita Ghosh,Subrata Chatterjee,193.0,339.55,65533.15,63313.6
TXN-00003,2022-08-13,2022,8,Q3,Aspirin,Cardiovascular,North,Pharmacy,Rahul Verma,Amit Srivastava,20.0,98.69,1973.8,2172.82
TXN-00004,2022-08-15,2022,8,Q3,Atorvastatin,Cardiovascular,West,Pharmacy,Vikram Shah,Rajesh Mehta,136.0,278.99,37942.64,40989.12
TXN-00005,2022-04-20,2022,4,Q2,Amoxicillin,Anti-infective,South,Pharmacy,Divya Menon,Lakshmi Iyer,19.0,150.02,2850.38,3142.11
TXN-00006,2022-08-13,2022,8,Q3,Amoxicillin,Anti-infective,West,Pharmacy,Nikhil Joshi,Rajesh Mehta,186.0,170.84,31776.24,28652.63
TXN-00007,2023-11-12,2023,11,Q4,Insulin Glargine,Diabetes,South,Hospital,Divya Menon,Lakshmi Iyer,76.0,878.39,66757.64,71185.13
TXN-00008,2020-10-22,2020,10,Q4,Aspirin,Cardiovascular,Central,Pharmacy,Asha Tiwari,Anita Pandey,106.0,98.26,10415.56,11123.63
TXN-00009,2021-05-07,2021,5,Q2,Omeprazole,Gastrointestinal,Central,Hospital,Rohit Mishra,Anita Pandey,102.0,116.41,11873.82,11498.2
TXN-00010,2024-03-02,2024,3,Q1,Metformin,Diabetes,East,Pharmacy,Debashish Roy,Subrata Chatterjee,111.0,253.77,28168.47,27759.07
TXN-00011,2020-05-14,2020,5,Q2,Omeprazole,Gastrointestinal,West,Hospital,Sneha Patil,Rajesh Mehta,182.0,143.22,26066.04,26382.83
TXN-00012,2024-04-19,2024,4,Q2,Metformin,Diabetes,East,Pharmacy,Arnab Das,Subrata Chatterjee,153.0,308.26,47163.78,42912.89
TXN-00013,2021-02-01,2021,2,Q1,Amoxicillin,Anti-infective,East,Pharmacy,Arnab Das,Subrata Chatterjee,169.0,236.45,39960.05,37812.45
TXN-00014,2022-10-17,2022,10,Q4,Amlodipine,Cardiovascular,Central,Pharmacy,Rohit Mishra,Anita Pandey,83.0,120.31,9985.73,11227.95
TXN-00015,2024-09-18,2024,9,Q3,Atorvastatin,Cardiovascular,West,Pharmacy,Sneha Patil,Rajesh Mehta,123.0,182.77,22480.71,23289.42
TXN-00016,2023-09-16,2023,9,Q3,Ibuprofen,Pain & Inflammation,West,Hospital,Nikhil Joshi,Rajesh Mehta,167.0,75.96,12685.32,11910.51
TXN-00017,2021-09-19,2021,9,Q3,Omeprazole,Gastrointestinal,East,Hospital,Debashish Roy,Subrata Chatterjee,69.0,114.25,7883.25,7938.54
TXN-00018,2023-10-29,2023,10,Q4,Ciprofloxacin,Anti-infective,North,Hospital,Rahul Verma,Amit Srivastava,230.0,343.62,79032.6,87277.91
TXN-00019,2023-11-10,2023,11,Q4,Atorvastatin,Cardiovascular,North,Hospital,Ravi Kumar,Amit Srivastava,285.0,157.72,44950.2,41190.31
TXN-00020,2023-06-02,2023,6,Q2,Metformin,Diabetes,East,Hospital,Sunita Ghosh,Subrata Chatterjee,111.0,347.85,38611.35,38868.71
TXN-00021,2022-04-15,2022,4,Q2,Amoxicillin,Anti-infective,East,Hospital,Pooja Bose,Subrata Chatterjee,57.0,202.36,11534.52,13340.62
TXN-00022,2022-01-21,2022,1,Q1,Metformin,Diabetes,North,Pharmacy,Rahul Verma,Amit Srivastava,147.0,328.75,48326.25,54027.61
TXN-00023,2021-02-06,2021,2,Q1,Ibuprofen,Pain & Inflammation,East,Hospital,Debashish Roy,Subrata Chatterjee,86.0,87.07,7488.02,8411.82
TXN-00024,2021-10-02,2021,10,Q4,Omeprazole,Gastrointestinal,North,Pharmacy,Priya Sharma,Amit Srivastava,165.0,113.21,18679.65,20115.69
TXN-00025,2020-12-11,2020,12,Q4,Omeprazole,Gastrointestinal,West,Hospital,Kavita Desai,Rajesh Mehta,90.0,115.1,10359.0,12294.74
TXN-00026,2020-07-26,2020,7,Q3,Atorvastatin,Cardiovascular,West,Pharmacy,Kavita Desai,Rajesh Mehta,71.0,277.64,19712.44,24249.39
TXN-00027,2023-12-14,2023,12,Q4,Sertraline,CNS,West,Hospital,Sneha Patil,Rajesh Mehta,168.0,348.24,58504.32,61908.53
TXN-00028,2022-04-01,2022,4,Q2,Atorvastatin,Cardiovascular,Central,Hospital,Deepak Gupta,Anita Pandey,95.0,224.08,21287.6,19183.98
TXN-00029,2024-03-07,2024,3,Q1,Ciprofloxacin,Anti-infective,East,Hospital,Arnab Das,Subrata Chatterjee,286.0,222.58,63657.88,61344.58
TXN-00030,2020-08-17,2020,8,Q3,Atorvastatin,Cardiovascular,East,Pharmacy,Debashish Roy,Subrata Chatterjee,172.0,236.54,40684.88,42667.98
TXN-00031,2021-03-28,2021,3,Q1,Atorvastatin,Cardiovascular,West,Pharmacy,Vikram Shah,Rajesh Mehta,61.0,262.16,15991.76,18008.58
TXN-00032,2023-10-04,2023,10,Q4,Metformin,Diabetes,Central,Pharmacy,Rohit Mishra,Anita Pandey,117.0,244.17,28567.89,29444.82
TXN-00033,2023-03-30,2023,3,Q1,Atorvastatin,Cardiovascular,South,Hospital,Suresh Nair,Lakshmi Iyer,92.0,194.29,17874.68,16498.83
TXN-00034,2023-02-01,2023,2,Q1,Metformin,Diabetes,North,Pharmacy,Anjali Singh,Amit Srivastava,220.0,244.48,53785.6,55750.02
TXN-00035,2022-07-09,2022,7,Q3,Ciprofloxacin,Anti-infective,Central,Pharmacy,Nisha Yadav,Anita Pandey,88.0,299.33,26341.04,31725.83
TXN-00036,2022-08-29,2022,8,Q3,Atorvastatin,Cardiovascular,West,Hospital,Sneha Patil,Rajesh Mehta,119.0,155.39,18491.41,19309.11
TXN-00037,2021-07-28,2021,7,Q3,Sertraline,CNS,South,Hospital,Meena Pillai,Lakshmi Iyer,64.0,531.0,33984.0,34060.73
TXN-00038,2020-01-05,2020,1,Q1,Amoxicillin,Anti-infective,West,Hospital,Sneha Patil,Rajesh Mehta,128.0,190.28,24355.84,26135.97
TXN-00039,2021-10-17,2021,10,Q4,Insulin Glargine,Diabetes,West,Hospital,Sneha Patil,Rajesh Mehta,94.0,831.38,78149.72,75825.46
TXN-00040,2020-04-26,2020,4,Q2,Amoxicillin,Anti-infective,North,Pharmacy,Rahul Verma,Amit Srivastava,85.0,140.34,11928.9,13170.04
TXN-00041,2024-07-19,2024,7,Q3,Sertraline,CNS,North,Pharmacy,Rahul Verma,Amit Srivastava,132.0,430.7,56852.4,67786.66
TXN-00042,2023-01-04,2023,1,Q1,Ibuprofen,Pain & Inflammation,East,Hospital,Arnab Das,Subrata Chatterjee,366.0,66.43,24313.38,21597.86
TXN-00043,2020-04-03,2020,4,Q2,Amlodipine,Cardiovascular,Central,Hospital,Nisha Yadav,Anita Pandey,64.0,146.47,9374.08,11038.53
TXN-00044,2024-11-20,2024,11,Q4,Ibuprofen,Pain & Inflammation,Central,Hospital,Nisha Yadav,Anita Pandey,109.0,103.81,11315.29,13019.11
TXN-00045,2022-02-07,2022,2,Q1,Ciprofloxacin,Anti-infective,Central,Hospital,Deepak Gupta,Anita Pandey,172.0,279.58,48087.76,48901.16
